Name,Author,Path,Servings,Ingredients,Instructions
Cajun Bloody Mary,Emeril Lagasse,home/recipes/beverages/alcoholic-beverages/Cajun Bloody Mary,3 cups,  1  1/2 cups tomato juice   3/4 cups vodka  1  1/2 tablespoons fresh lemon juice  1  1/2 tablespoons fresh lime juice  1 tablespoon prepared horseradish  1  1/2 teaspoons Worcestershire sauce  2 teaspoons hot sauce  1 teaspoons Emeril's Original Essence   1/2 teaspoon salt   1/2 teaspoon freshly ground black pepper   3/4 teaspoon cayenne  Pickled green beans or okra for garnish  Cocktail onions for garnish  Celery branches for garnish   , This kicked-up classic Bloody Mary is Cajun style and super-spicy. It's the perfect morning eye-opener.  Combine all ingredients (except garnish) in a small pitcher and stir to combine. Refrigerate until well chilled up to several days in advance. Serve over ice with pickled green beans or okra and cocktail onions for garnish.  Recipe Details Source: Mardi Gras Cocktails» Dish Type:  Beverage/Alcoholic»  Cuisine: American» Cooking Method: Other»  Occasion:  Any» Effort Level:  Simple»  Tags anytime cocktails» brunch» vodka» holiday brunch» Source URL» 
Creamy Herbed Pasta with Turkey Stuffing Meatballs,Kayla Howey The Original Dish,home/recipes/main-courses/grains-legumes-pasta/Creamy Herbed Pasta with Turkey Stuffing Meatballs,4 servings,   3/4 cup olive oil plus more as needed  1 medium red onion diced   kosher salt as needed  freshly cracked black pepper as needed  2 garlic cloves minced  6 tbsp butter  3 tbsp chopped mixed hearty herbs (rosemary sage oregano or thyme)  1 egg   1/2 cup chicken stock  3 oz. crusty bread torn into pieces  1  1/2 lbs ground turkey thigh   1/2 lb thinly sliced brussels sprouts   1/2 lb diced butternut squash    3/4 lb short pasta (pictured: gigli toscani)   1 shallot thinly sliced   1  1/2 cups heavy cream   1/2 cup grated parmesan cheese plus more for garnish   2 small handfuls arugula  1 lemon juiced    ,  A creamy pasta dish full of Thanksgiving flavors – hearty herbs caramelized brussels sprouts & butternut squash and turkey stuffing meatballs   Preheat the oven to 375 degrees  F. Heat an 11" Staub skillet over medium heat. Add the olive oil. Once hot add the red onion. Season with a pinch of salt and black pepper. Saute for 10-12 minutes until caramelized. Stir in the garlic. Cook for another minute or so. Add 2 tablespoons of the butter and let melt. Turn off the heat and stir in 2 tablespoons of the herbs. Let the mixture cool slightly.  Meanwhile whisk the egg and chicken stock in a large mixing bowl. Add the bread to a food processor and pulse to form coarse crumbs (should equal 1  1/2 cups lightly packed fresh breadcrumbs). Add the breadcrumbs to the egg mixture along with the red onion mixture and ground turkey thigh. Season well with salt and pepper. Mix to combine. Form the meat into approximately 12 (3-oz) meatballs. Set aside.  Wipe out the Staub skillet and place back over medium heat. Add a drizzle of olive oil to coat the bottom. Once hot add the brussels sprouts. Saute for a few minutes until caramelized and tender. Transfer the sprouts to a plate. Repeat the process with the butternut squash (instead sauteing for about 10 minutes).   Add another drizzle of olive oil to the skillet. Work in batches to sear the meatballs until golden brown about 3-4 minutes per side (lower the heat if needed so they don't burn). Transfer them to a sheet pan. Meanwhile drop the pasta into a large pot of boiling salted water. Cook for 1 minute less than the package's instructions. Tranfser the meatballs to the oven and bake for 8 minutes or until cooked through.  To the skillet add the remaining 4 tablespoons of butter and shallot. Saute for a few minutes. Season with salt and pepper. Add the cream and a  1/2 cup of the starchy pasta water from the pot. Bring to a simmer. Whisk in the parmesan cheese. Cook the sauce for a minute or so to thicken.   Drain the pasta and add it to the sauce. Stir well to coat. Stir in the caramelized vegetables arugula lemon juice and remaining 1 tablespoon of herbs. Allow the arugula to wilt. Serve the pasta with the turkey meatballs and more parmesan cheese over top. 
Crispy Sheet Pan Gnocchi With Vegetables,Jessica Lawson,home/recipes/main-courses/grains-legumes-pasta/Crispy Sheet Pan Gnocchi With Vegetables,1 serving,  1 17.6oz package of shelf-stable gnocchi (uncooked)   1 pint grape or cherry tomatoes   1 12oz bag baby bell peppers quartered (or 2 bell peppers cut into chunks)   ½ medium red onion cut into ½ inch slices   4 cloves garlic smashed with peel on   ½ teaspoon dried oregano   ½ teaspoon dried parsley   ¼ cup olive oil   ½ teaspoon salt  ¼ teaspoon black pepper   1 tablespoon red wine vinegar (or fresh lemon juice)  ¼ cup chopped fresh basil   2-3 cups arugula for serving (optional)   Shaved parmesan for serving    , Preheat oven to 425°F. Cut baby bell peppers into quarters removing seeds and stems.  Slice red onion into ½-inch sections.  Smash unpeeled garlic cloves.  In a large bowl combine the peppers tomato red onion dried oregano and dried parsley ¼ teaspoon of salt and black pepper to taste. Toss vegetable mixture together with 2 tablespoons of olive oil.  Add gnocchi to the sheet pan and toss with 1 tablespoon of olive oil salt and pepper. Spread in a single layer covering about ⅓ of the sheet pan.  Add the vegetables to the remaining space on the sheet pan.  Add unpeeled garlic cloves on top of vegetables and drizzle with a bit of olive oil.  Bake at 425°F for 20-25 minutes until gnocchi are slightly golden and crispy and vegetables are cooked through with a little bit of char. Tomatoes will begin to burst and become jammy.  Remove garlic cloves from the pan peel and mash together with remaining olive oil red wine vinegar and a pinch of salt.  Pour dressing onto sheet pan and gently stir all ingredients together with a wooden spoon.  Divide arugula into serving dishes and top with gnocchi and veggies.  Garnish with fresh basil and shaved parmesan. 
Vanilla Bean Caffè Latte,Sonoma Syrup Co.,home/recipes/beverages/hot-beverages/Vanilla Bean Caffè Latte,1 serving,  1 tbsp. Sonoma Syrup Co. Vanilla Bean Simple Syrup 1-2 shots espresso* 3/4 cup steamed milk Whipped cream Cocoa powder   , Pour Sonoma Syrup Co. Vanilla Bean Simple Syrup in a mug. Add freshly brewed espresso and steamed milk. Top with whipped cream and sprinkle cocoa powder on top.  Recipe Note:  **1 shot = 1/8 cup. 1⁄4 cup strongly brewed coffee may be substituted for one shot.  
Philly Cheesesteak Sliders,Karlee Flores,home/recipes/sandwiches/Philly Cheesesteak Sliders,12 sliders,  12 Hawaiian rolls  1/3 cup whipped cream cheese  1/2 red onion 1 green bell pepper 1 cup sliced crimini mushrooms 1 teaspoon seasoning salt divided 2 teaspoons olive oil 1 lb. ground beef 4 slices provolone cheese   , Preheat the barbeque to grilling temperature (about 400 degrees F) Slice the Hawaiian rolls in half and toast each end until golden brown either in a skillet or in the preheating grill. Spread cream cheese evenly on the bottom of the Hawaiian rolls. Set aside. Slice the onion and bell peppers and add to a medium bowl with the crimini mushrooms. Add in  1/2 teaspoon of the seasoning salt and the olive oil. Toss together until evenly coated. Place into a vegetable basket and set aside. Take the ground beef and add the rest of the seasoning salt. Slightly mix. Scoop out 12 even balls of ground beef about 2 1/2 tablespoons each. Place between two pieces of wax paper and press down to a quarter inch thick. They will not be uniformly round but that’s okay. Place the vegetable rack onto the grill with the burger patties. Grill the patties for about 3 minutes on each side until thoroughly cooked. Continue to cook the vegetables until soft about 15 minutes mixing every 5 minutes. Add on the sliced provolone cheese and cover just until melted. Place the burger patties onto the cream cheese side of the Hawaiian rolls. Add the grilled vegies on top and sandwich with the tops of the Hawaiian rolls. Serve immediately and enjoy! br> 
Roasted Steak with Chimichurri Sauce,ested and perfected in the Sur La Table kitchen,home/recipes/main-courses/meat/Roasted Steak with Chimichurri Sauce,4 servings,  Steak: 2 12-ounce flank steaks  Kosher salt and freshly ground black pepper Vegetable oil   Chimichurri sauce: 1 cup packed fresh flat-leaf parsley leaves   1/2 cup packed fresh cilantro leaves    1/2 cup extra-virgin olive oil  1 tablespoon shallot coarsely chopped  2 garlic cloves chopped   1/2 teaspoon ground cumin   1 tablespoon fresh oregano leaves   1/2 teaspoon red pepper flakes  2 tablespoons red wine vinegar  Kosher salt and freshly ground black pepper    , Preheat oven to 400 degrees F and position a rack in the upper third of oven.   Remove steaks from refrigerator and pat dry with paper towels. Rub both sides of steaks with oil season with salt and pepper. Let steaks stand at room temperature for 30 minutes.  To cook steak: Preheat a large heavy bottom skillet over medium-high heat. When pan is hot carefully add steaks and sear about 2 minutes per side. Transfer pan to oven and cook to desired doneness 6 to 8 minutes for medium-rare (or 125 degrees F on an instant-read thermometer when inserted into thickest part of steak). Transfer steaks to a cutting board and tent loosely with foil.  To prepare chimichurri sauce: To the bowl of a food processor combine all ingredients. Pulse until herbs are finely chopped stopping to scrape down sides of bowl as needed. Transfer chimichurri to a medium bowl. Taste and adjust seasoning with salt and pepper.  To serve: Slice steaks crosswise into  1/2-inch slices; serve with chimichurri sauce.  
Summer Ratatouille,Sur la Table,home/recipes/side-dishes/vegetables/Summer Ratatouille,4 servings,  	1/2 cup olive oil 	4 medium yellow onions cut into 1/4 inch slices 	Kosher salt and freshly ground black pepper 	4 fresh thyme sprigs 	2 garlic cloves minced 	1 large thin eggplant cut into 1/4 inch slices 	2 medium zucchini cut into 1/4 inch slices 	2 medium yellow summer squash cut into 1/4 inch slices 	4 Roma or plum tomatoes cored and cut into 1/4 inch slices 	Freshly torn basil leaves as garnish  , Preheat oven to 400&deg;F.  1. To caramelize onions: To a large oven-safe skillet set over medium heat add 1/4 cup olive oil. When oil is hot and shimmering add onions salt and pepper stir to coat in oil. Add thyme and cook stirring occasionally until the onions begin to brown about 25 minutes. Add the garlic stir to combine.   2. To assemble: Remove the pan from the heat. Spread the caramelized onions into an even layer on the bottom of the pan. Arrange the eggplant zucchini yellow squash and tomatoes in alternating order in a tight circle around the edge of the pan. Continue layering alternating the produce in concentric rings until the entire pan is full. Drizzle the remaining 1/4 cup of olive oil over the top and season with salt and pepper.   3. To bake: Transfer the skillet to the preheated oven and bake until the vegetables are tender and golden brown 25 to 30 minutes.  4. To serve: Remove from oven. Tear fresh basil over top and serve warm. 
Crispy Chicken Sheet Pan Dinner,Karlee Flores,home/recipes/main-courses/poultry/Crispy Chicken Sheet Pan Dinner,4 servings, For the Potatoes  	1 lb golden potatoes quartered 	1 teaspoon salt 	&frac12; teaspoon cracked black pepper 	&frac14; cup butter 	1 cup half and half   For the Crispy Chicken   	8 chicken tenders or two chicken breasts cut into 8 pieces 	1 cup flour 	1 teaspoon salt 	&frac12; teaspoon pepper 	2 tablespoons Sur La Table Italian seasoning divided 	3 eggs 	1 cup panko breadcrumbs 	&frac34; cup ground parmesan 	For the Brussels Sprouts 	&frac12; lb. Brussels sprouts halved 	3 strips thinly sliced bacon 	Balsamic glaze for topping  , Preheat the oven to 400 degrees.  Place the potatoes salt pepper and butter on a sheet of foil. Wrap the foil around the potatoes and close off any openings. Place the pocket of potatoes in the oven while you prep the remaining dinner.  In one bowl mix the flour salt pepper and 1 tablespoon of the Italian seasoning. In another bowl whisk 3 eggs together. In a third bowl mix the panko parmesan and remaining tablespoon of the Italian seasoning. Take one chicken strip and place in the flour mixture then the egg mixture then the panko mixture making sure the chicken is completely coated.  Place the chicken on one end of a baking sheet. Add the brussels sprouts in the center and place the strips of bacon directly on top. Remove the potatoes from the oven and place at the end of the baking sheet.  Place in the oven for 20 minutes then remove and flip the chicken. Place back in the oven to cook for another 15 minutes until browned.  Remove from the oven. Check to see if the potatoes are softened if not place the pouch back in the oven to cook 5-10 more minutes until finished.       Remove the bacon and slice into bite sized pieces.  Put the potatoes in a bowl with the half and half and beat into mashed potatoes.       Serve all together topping with the bacon and a drizzle of balsamic glaze. Enjoy!
Homemade Potato Dough,Tested and perfected in the Sur La Table kitchen,home/recipes/breads/dough/Homemade Potato Dough,1 serving,  1 small (5 ounces) russet potato peeled and quartered 1/2 tablespoon active dry yeast 1/4 cup (1 3/4 ounces) granulated sugar 1/2 stick (2 ounces) unsalted butter room temperature plus more for greasing 1/2 cup (4 ounces) whole milk warmed to 110 to 115 degrees  F 1 large egg room temperature 2 1/2 cups (12 1/2 ounces) bread flour or all-purpose flour plus more  1 teaspoon kosher salt   , Bread bakers have been using potatoes (and potato cooking water) for many years. Yeast loves the starchy carbohydrates in potatoes and their lumpy texture adds not only flavor and moisture but also a chewy softness - ideal for dinner rolls. Serve these at a family dinner and watch them disappear.   1. To prepare potatoes:   To a small saucepan add potatoes and cover with cold water. Set saucepan over medium heat and bring to a simmer. Cook until potatoes can be easily pierced with a knife about 15 to 20 minutes. Drain potatoes in a colander and reserve 1/2 cup of cooking water. Return potatoes to pan and using a potato masher or fork mash until smooth. Set aside to cool to room temperature.  2. To prepare dough:    To a small saucepan set over medium heat add reserved potato water. Heat water to 110 to 115 degrees  F and pour into the bowl of a stand mixer fitted with a paddle attachment. Add yeast and 1 teaspoon sugar and whisk by hand to blend. Allow mixture to sit until yeast is activated and foamy or bubbling about 5 to 10 minutes.   3. To stand mixer bowl add 1/2 cup (3 1/2 ounces) mashed potatoes. Add remaining sugar softened butter milk and egg; whisk by hand until well blended. Add flour and salt and mix on low speed until dough begins to come together about 2 to 3 minutes. The dough will be sticky and wet. With mixer on low add additional flour a tablespoon at a time until dough begins to pull away from sides of bowl. Turn speed to medium-low and continue to knead until dough feels firm dense and springy about 5 to 6 minutes. Note: This dough is soft and sticky and will not pull away from the sides completely. Do not over-knead or starch from potatoes will break down and make dough gooey.  4. Lightly butter a large mixing bowl. Transfer dough to bowl and lightly coat surface of dough with a little softened butter. Cover with plastic wrap or a damp kitchen towel and let dough rise until doubled in size 45 to 60 minutes (longer if room is cold).   5. To cold-proof dough:  Turn dough out onto a lightly floured work surface. Press down on dough firmly to expel some air bubbles. Return dough to mixing bowl and cover with plastic wrap. Transfer bowl to refrigerator for at least 2 hours or up to overnight. 
Creamy Chicken & Mushroom Stew,Kayla Howey,home/recipes/main-courses/poultry/Creamy Chicken & Mushroom Stew,4 servings,  ¾ lb bacon diced ½ lb shiitake mushrooms trimmed + halved ½ lb baby portobello mushrooms stemmed + thinly sliced kosher salt 2 tbsp butter 1 medium onion diced 1 large leek thinly sliced 4 garlic cloves minced ½ tsp crushed red pepper 1 lb carrots peeled + sliced ¼” 1 tbsp all-purpose flour ½ cup white wine 1 ½ lbs bone-in skin-on chicken breasts 1 small handful fresh oregano + sage tied in kitchen twine 1 qt chicken stock 1 bunch red chard stemmed + roughly chopped 1 (15 oz) can butter beans 2 tbsp heavy cream 2 tbsp chopped parsley freshly shaved parmesan cheese for topping freshly cracked black pepper for topping   , Heat a 7qt Dutch oven over medium-high heat. Add the bacon. Cook for about 6 minutes to start the rendering process stirring often. Reduce the heat to low and continue to render until the bacon is crisp. Use a slotted spoon to transfer the bacon to a plate lined with paper towels.   Leave 2 tablespoons of bacon fat in the pot carefully discarding the rest. Increase the heat to medium-high. Add the mushrooms. Cook for about 8 minutes until caramelized and tender. Season with a pinch of salt. Transfer the mushrooms out of the pot.   Reduce the heat to medium and add the butter. Once melted add the onion and leeks. Sauté for about 6 minutes. Season with a pinch of salt. Stir in the garlic and crushed red pepper. Cook for a minute or so.   Add the carrots. Stir in the flour and cook for a minute or so. Pour in the white wine and stir well. Add the chicken and herbs to the pot along with the chicken stock. Bring the liquid to a boil. Reduce to a simmer and cook for approximately 40 minutes or until the chicken is cooked through.   Transfer the chicken to a cutting board. Stir the red chard and beans into the stew. Shred the chicken discarding the skin and bones. Add the chicken back to the pot. Lastly stir in the heavy cream and parsley. Season with salt to taste.   Ladle the stew into bowls. Top with the bacon parmesan cheese freshly cracked black pepper and any extra herbs. 
Glazed Lemon Yogurt and Olive Oil Pound Cake,Aran Goyoaga,home/recipes/desserts/cakes-custards/Glazed Lemon Yogurt and Olive Oil Pound Cake,1 LOAF, For the cake  1 cup (200 g) sugar 1 tablespoon finely grated lemon zest (from 2 to 3 medium lemons)  1 cup (140 g) superfine brown rice flour 1 cup (100 g) almond flour any lumps broken up 3 large eggs  1/2 cup (115 g) whole-milk yogurt or Cashew-Coconut Yogurt   1/2 cup (110 g) extra-virgin olive oil plus more for greasing 1 tablespoon vanilla extract 1 tablespoon baking powder  1/2 teaspoon kosher salt    For the glaze  2 cups (240 g) powdered sugar 2 to 3 tablespoons freshly squeezed lemon juice 2 tablespoons finely chopped pistachios for topping   , This is the basic snack cake of my childhood. I would come home from school to find it displayed on an old red melamine tray cooling on the outdoor balcony. It is very lemony and moist with a simple glaze. You can add orange zest or poppy seeds to it if you'd like.  1.    Preheat the oven to 350 degrees F. Grease the inside of an 8 1/2-by-4 1/2-inch loaf pan with a little bit of olive oil.  2.    To make the cake in a large bowl rub together the sugar and lemon zest until fragrant. This helps release the natural lemon oil. Whisk in the remaining ingredients until the batter is smooth. Pour the batter into the prepared pan and bake for 45 to 50 minutes until a toothpick inserted in the center comes out clean. Let the cake cool in the pan for 15 minutes then invert onto a wire rack. Let the cake cool completely if you want the glaze to stay thick on top of the cake. If the cake is warm the glaze will melt and run off.  3.    To make the glaze in a medium bowl whisk together the powdered sugar and lemon juice until smooth and lump free. As you begin to whisk it might seem too thick but as the sugar absorbs the juice the glaze will thin out. The glaze should be pourable but not too runny.   4.    Put a tray or baking sheet under the wire rack and pour the glaze all over the cake letting it run over the edges. Wait a few minutes for the glaze to set. Sprinkle the top with the pistachios then serve. The cake will keep at room temperature for 3 days. If you refrigerate it the glaze will soften.  &#169;2021 by Aran Goyoaga. Excerpted from Cannelle et Vanille Bakes Simple: A New Way to Bake Gluten-Free by permission of Sasquatch Books. 
Spicy Shrimp Simmered in Basil,Tested and perfected in the Sur la Table kitchen,home/recipes/main-courses/seafood/Spicy Shrimp Simmered in Basil,4 servings,  1 pound medium shrimp peeled and deveined chopped into  1/2-inch pieces 2 tablespoons fish sauce divided plus more as needed 2 tablespoons lime juice divided plus more as needed 4 tablespoons vegetable or canola oil 2 medium shallots peeled and thinly sliced 1 large clove garlic peeled and finely minced 3 medium kaffir lime leaves roughly chopped 1 to 2 Thai red chiles or 2 serrano chiles stems trimmed thinly sliced 1 large bunch Thai or sweet basil leaves stems removed divided 3 tablespoons firmly packed palm sugar or light brown sugar plus more as needed   , Unlike a traditional stir-fry this dish is cooked over medium heat to allow the aromatics to infuse the cooking oil with loads of flavor. Basil and fish sauce are both added at the beginning and the end of cooking to build a great depth of flavor in this Thai-style dish. If you're using Thai chiles are extremely hot; you can reduce the heat by removing the seeds before adding them to this dish.   To marinate shrimp: Place shrimp 1 tablespoon fish sauce and 1 tablespoon lime juice into a medium mixing bowl and toss until thoroughly coated in the marinade.  Cover and refrigerate shrimp for 10 minutes.  To cook shrimp: Place oil in a large wok or skillet on the stove over moderate heat. Add the oil and when shimmering add the shallots garlic lime leaves chiles and 2/3 of the basil leaves and cook stirring frequently until shallots are golden brown about 8 to 10 minutes.   Increase heat to moderate-high and add the shrimp stirring frequently until firm and no longer pink (about 3 to 4 minutes). Stir in the remaining tablespoon of fish sauce and lime juice. Add the palm sugar and stir until combined. Add the remaining basil and cook stirring constantly until the basil wilts about 1 minute. Taste and season with additional fish sauce lime juice and palm sugar as desired.    
Whole Wheat Country Bread with Olives and Rosemary,King Arthur Flour Company Inc.,home/recipes/breads/yeast-breads/Whole Wheat Country Bread with Olives and Rosemary,2 loaves,  2 3/4 teaspoons (.25 ounces) active dry yeast 1 cup (8 ounces) warm water (110 degrees  to 115 degrees F)  1 cup (8 ounces) whole milk 2 tablespoons (.87 ounces) granulated sugar  1/2 cup plus 2 tablespoons finely ground yellow cornmeal divided 3 tablespoons (1.5 ounces) unsalted butter at room temperature  2/3 cup yellow onions coarsely chopped 2 tablespoons rosemary leaves coarsely chopped  1 cup Kalamata olives pitted drained roughly chopped 2 teaspoons kosher salt 1 tablespoon freshly ground black pepper 2 cups (8 ounces) King Arthur whole wheat flour 3 to 3  1/2 cups (12.75 to 14.87 ounces) King Arthur unbleached all-purpose flour divided Olive oil for greasing the bowl   ,  Nothing smells and tastes more satisfying than homemade whole wheat bread especially after all the kneading of the dough by hand!  In a large bowl stir in the yeast warm water and milk. Let the mixture stand in a warm draft-free place until the yeast has dissolved about 5 minutes.  Add the sugar  1/2 cup cornmeal butter onion rosemary olives salt pepper whole wheat flour and 2 cups of the all-purpose flour and mix well with a wooden spoon. Place the dough on a lightly floured surface and knead for 2 to 3 minutes adding the remaining all-purpose flour as necessary to make workable dough. Place the dough in a large mixing bowl cover with plastic wrap and let the dough rest for 10 to 15 minutes.    Knead the dough again until it is smooth and elastic about 10 minutes. Sprinkle the dough with flour if necessary to keep it from sticking.  Lightly oil a large bowl and turn the dough into it to coat with the oil. Cover the bowl with a kitchen towel and let the dough rise in a warm draft-free place until it has doubled in size about 1  1/2 hours.   Gently press the dough down on a lightly floured work surface and divide it in half. Shape each half into a round loaf. Sprinkle a baking sheet with the remaining 2 tablespoons of cornmeal and place the loaves onto it seam side down. Cover with a kitchen towel and let rise again until it barely doubled in size about 45 minutes.  Meanwhile position a rack in upper third of the oven and preheat to 350 degrees F. Bake the bread until it is well-browned and sounds hollow when the bottom is tapped with your finger about 45 minutes. Remove the bread from the baking sheet and set on a wire rack to let cool.   
Red White & Blue Quick Pops,Zoku,home/recipes/desserts/ice-cream-yogurt-sorbets/Red White & Blue Quick Pops,3 to 6 pops,  12 oz. of lemonade Red food coloring Blue food coloring 1 apple or pear for creating the stars   , To create the colors use liquid or gel food coloring to dye lemonade red and blue; plain lemonade will create the white layer. If you are using gel dyes be sure to thoroughly stir your dyed lemonade to ensure that all of the dye has been dissolved into the liquid.  To make the stars slice an apple or pear 1/8 inch thick or less. Lay the fruit flat and cut with the star fruit stencil found in the Zoku Tool Kit. Attach the fruit slices using the end of the fruit wand (also found in the Zoku Tool Kit). Insert the prepared fruit wand into the pop mold pressing the fruit star against the wall of the cavity for about 10 seconds. Repeat as desired.  To create a red white and blue effect remember to pour your red lemonade in first. To achieve the look that is in the photo you'll want to use the following guidelines or you can estimate your desired proportions.   Remove your Zoku Quick Pop Maker from the freezer. Apply 3 stars to the top  1/3 of the Zoku Quick Pop cavities using the directions above.   Insert sticks. Pour  1/2 ounce plain lemonade into each Zoku Quick Pop cavity. Allow this layer to freeze completely.   Next pour  3/4 ounce of red lemonade into each cavity. Allow this layer to freeze completely.  Finally pour  3/4 ounce of blue lemonade into each cavity this last layer should reach the fill line. Allow this layer to freeze completely.   Remove the pops with the Super Tool and enjoy.   Note: Since we are using a layered method the amount of pops you can make per session will be reduced. This is because there is a longer freezing time due to the multiple layers.  
Mini Cuban-Style Rice Pudding,Jamie Silva A Sassy Spoon,home/recipes/desserts/cakes-custards/Mini Cuban-Style Rice Pudding,1 serving,   1/2 cup uncooked white rice 1 1/2 cups water 1 cinnamon stick 1 quart whole milk  3/4 teaspoon salt 1 teaspoon vanilla extract 1 cup sugar  3/4 teaspoon cinnamon ground   , Cook the rice with water and cinnamon stick until soft. Remove the cinnamon stick and drain off any excess water. (Most of the water should have been absorbed into the rice.)  Add milk salt vanilla extract and sugar to rice and cook over low heat uncovered stirring occasionally until thick about one hour. Sprinkle with cinnamon. Serve and enjoy!  
Carrot Top Pesto,Recipe developed for Sur La Table's Cooking Classes,home/recipes/appetizers/dips-spreads-sauces-seasonings/Carrot Top Pesto,4 servings,  Coarse sea salt 1 pound dried pasta such as linguini or spaghetti Tops from 2 bunches carrots (stems and all) coarsely chopped about 2 cups  1 cup basil leaves 2 garlic cloves chopped  3/4 cup chopped toasted blanched almonds  1/2 cup extra-virgin olive oil or as needed  1/2 cup freshly grated Parmigiano-Reggiano cheese Freshly ground black pepper     , To a large pot filled with cold water add a couple handfuls of salt and bring to a boil over high heat. Add the pasta and cook until al dente about 10 minutes.   While the pasta is cooking to the Vitamix add carrot tops basil leaves garlic and almonds. Pulse until everything is finely chopped. With the Vitamix turned on slowly drizzle the oil through the lid opening until the pesto is creamy and about the thickness of mayonnaise. You do not need to use all of the oil.   Pulse a little bit of pasta water and half the cheese into the pesto. Taste and adjust seasoning with salt and pepper.    Drain the pasta and toss with the pesto and the rest of the cheese; serve immediately.   
Crispy Potato Hash with Smoked Salmon and Dill Cream,Tested and perfected in the Sur la Table kitchen,home/recipes/appetizers/hot/Crispy Potato Hash with Smoked Salmon and Dill Cream,4 servings,  2 (1 pound) Yukon Gold potatoes peeled grated and drained  1/2 pound unsalted butter melted and clarified divided  Kosher salt and freshly ground black pepper 1 shallot finely chopped 5 dill sprigs finely chopped  1/2 cup sour cream 1 tablespoon freshly squeezed lemon juice  1/2 pound smoked salmon thinly sliced  Dill sprigs for garnish   , Preheat the oven to 425 degrees.  To make potato hash: In a large mixing bowl combine grated potatoes add  3/4 pound clarified butter and season with salt and pepper. Thoroughly combine.  Place a large nonstick skillet over high heat until almost smoky-hot. Using the remaining clarified butter; add enough butter to cover the bottom of the pan.  Scoop a tablespoon of potato mixture and mold into the desired round potato shape. Add the shaped potatoes to the pan and cook until crispy and golden color on the outside about 2 minutes. Reduce the heat to medium low and using a spatula turn the potato hash over sauteing until golden-brown on the other side about 3 minutes.   Remove from the pan and transfer onto a baking sheet. Place the baking sheet into the oven to cook until crispy throughout about 10 minutes.  To make dill cream: In a medium mixing bowl combine shallots dill sour cream and lemon juice. Using a whisk beat until thick and creamy. Taste mix and season with salt and pepper.   To assemble and serve: Remove the hash potato from the oven while still warm. Arrange the smoked salmon over the hash potato and place a dollop of the dill cream on the top. Place a dill sprig on top of the cream for garnish.    
Asparagus-Goat Cheese Tart with Basil,Tested and perfected in the Sur la Table kitchen,home/recipes/appetizers/vegetarian/Asparagus-Goat Cheese Tart with Basil,8 servings,  1 Flaky Pie Crust pastry (  Click here for recipe »)  All-purpose flour for dusting 2 tablespoons olive oil 2 medium shallots minced 1 medium garlic clove minced  1 pound (about 1 bunch) asparagus trimmed and cut to 1-inch pieces 2 teaspoons lemon zest Kosher salt and freshly ground black pepper  3/4 cup sour cream  3/4 cup whole milk 4 large eggs 3 tablespoons minced basil divided 1 tablespoon minced flat-leaf parsley 3 ounces soft goat cheese   , This easy to make and flavorful tart is perfectly paired with a range of cocktails and wines. The recipe below is vegetarian; however bacon or prosciutto can also be added.  Preheat an oven to 375 degrees F and position an oven rack in the bottom third of the oven. Lightly butter a 10-inch tart pan with a removable bottom. Set aside.   b>To prepare tart pan: Lightly dust a clean work surface with flour and roll pastry dough into a circle with a 14-inch diameter. Fit dough circle into prepared pan being careful not to stretch out the dough too thin. Bring the dough up the sides of the pan and trim any excess dough. Transfer to the freezer until firm about 15 minutes.   To prepare vegetables: Place a large nonstick skillet on the stove over a moderate heat and add the oil. When the oil is shimmering add the shallots and cook until soft about 4 minutes. Add the garlic and cook until fragrant about 1 minute. Add the asparagus and lemon zest and cook until just starting to soften about 5 minutes. Taste and adjust seasoning with salt and pepper. Set aside to cool slightly.  To prepare the filling: In a medium bowl use a whisk to combine the sour cream milk eggs 2 tablespoons basil parsley salt and pepper.   To prepare tart: Scatter the vegetables evenly across the bottom of the prepared tart case and pour over the custard filling. Sprinkle with goat cheese and transfer to the oven to bake until the edges of the crust are golden brown and the filling is set about 25 to 30 minutes. Transfer the tart from the oven to a wire rack and allow to cool slightly before removing the tart case.   To serve: Remove the sides of the tart pan slice into wedges garnish with remaining basil and serve warm or at room temperature.    
